City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
156,Ambilobe,-13.2,49.05,71.46,71,0,4.47,MG,clear sky
157,Kanniyakumari,8.08,77.57,79.16,83,100,14.67,IN,overcast clouds
158,Aflao,6.12,1.19,80.6,83,20,6.93,TG,few clouds
159,Souillac,-20.52,57.52,73.4,78,40,11.41,MU,scattered clouds
160,Peniche,39.36,-9.38,61.0,77,100,9.24,PT,overcast clouds
161,Rypefjord,70.63,23.67,30.2,92,40,10.29,NO,scattered clouds
162,Dabakala,8.37,-4.43,77.76,81,82,2.89,CI,light rain
163,Abancay,-13.63,-72.88,73.13,35,34,9.4,PE,scattered clouds
164,Nicolas Bravo,18.45,-88.92,87.8,66,40,4.16,MX,scattered clouds
165,Severnoye,56.35,78.36,29.98,95,27,9.69,RU,scattered clouds
166,Ceyhan,37.02,35.82,75.99,94,40,3.36,TR,scattered clouds
167,Sergeyevka,53.88,67.42,34.09,83,46,8.57,KZ,scattered clouds
168,Boca Do Acre,-8.75,-67.4,92.79,42,45,1.7,BR,moderate rain
169,Carnarvon,-24.87,113.63,68.0,88,75,12.75,AU,broken clouds
170,Klaksvik,62.23,-6.59,39.2,93,100,6.93,FO,light rain
171,Yerky,48.99,30.99,45.37,84,0,7.56,UA,clear sky
172,East London,-33.02,27.91,63.99,73,46,6.42,ZA,scattered clouds
173,Miranda De Ebro,42.69,-2.95,54.0,93,72,1.12,ES,broken clouds
174,Comodoro Rivadavia,-45.87,-67.5,68.0,20,40,29.97,AR,dust
175,Vestmanna,62.16,-7.17,39.2,93,100,6.93,FO,light rain
176,Vardo,70.37,31.11,39.2,64,40,13.87,NO,scattered clouds
177,Gijon,43.54,-5.66,61.0,78,100,5.03,ES,overcast clouds
178,Saldanha,-33.01,17.94,59.0,77,100,9.17,ZA,overcast clouds
179,Aktash,50.3,87.73,19.72,97,93,7.7,RU,snow
180,Inirida,3.87,-67.92,88.54,63,78,1.1,CO,light rain
181,Balsas,-7.53,-46.04,91.76,21,75,5.01,BR,broken clouds
182,Carutapera,-1.2,-46.02,80.44,73,99,7.45,BR,overcast clouds
183,Namalenga,-10.95,39.1,71.35,79,0,5.84,TZ,clear sky
184,Odweyne,9.41,45.06,74.95,35,0,3.67,SO,clear sky
185,Tessalit,20.2,1.01,85.6,15,0,11.77,ML,clear sky
186,Altay,47.87,88.12,39.81,68,99,2.68,CN,overcast clouds
187,Akniste,56.16,25.75,36.61,88,0,10.92,LV,clear sky
188,Narva-Joesuu,59.46,28.04,40.3,77,48,15.84,EE,light rain
189,Hamilton,39.18,-84.53,60.01,67,90,10.29,US,overcast clouds
190,Eyl,7.98,49.82,79.97,77,0,7.96,SO,light rain
191,Sur,22.57,59.53,84.18,31,2,13.53,OM,clear sky
192,Matagami,49.75,-77.63,42.8,93,90,6.93,CA,light rain
193,Bathsheba,13.22,-59.52,84.2,70,40,4.7,BB,shower rain
194,Llangefni,53.26,-4.31,54.0,87,60,17.22,GB,broken clouds
195,Lexington,37.99,-84.48,60.01,67,90,12.75,US,overcast clouds
196,Adwa,14.16,38.9,61.07,57,0,2.21,ET,clear sky
197,Osakarovka,50.56,72.57,32.92,82,0,4.54,KZ,clear sky
198,Gamba,-2.65,10.0,77.05,90,97,8.23,GA,overcast clouds
199,Grand Gaube,-20.01,57.66,72.0,73,0,1.99,MU,clear sky
200,Yar-Sale,66.83,70.83,19.09,96,28,7.27,RU,scattered clouds
201,Itacare,-14.28,-39.0,75.76,81,42,9.91,BR,scattered clouds
202,Valdivia,-39.81,-73.25,55.4,66,75,14.99,CL,broken clouds
203,Uray,60.12,64.78,32.31,95,100,10.98,RU,overcast clouds
204,Algiers,36.75,3.04,60.8,82,41,3.36,DZ,scattered clouds
205,Mogadishu,2.04,45.34,78.96,81,45,11.83,SO,scattered clouds
206,Suez,29.97,32.53,73.02,70,0,11.5,EG,clear sky
207,Camacha,33.08,-16.33,71.6,88,40,19.46,PT,scattered clouds
208,Rio Grande,-32.03,-52.1,77.0,65,0,7.0,BR,clear sky
209,San Pedro,14.35,121.02,78.8,88,75,3.36,PH,broken clouds
210,Axim,4.87,-2.24,77.68,88,48,7.11,GH,scattered clouds
211,Kharitonovo,61.4,47.5,34.79,93,100,7.25,RU,light rain
212,Kashi,39.45,75.98,51.8,37,0,11.18,CN,clear sky
213,Umba,66.69,34.34,36.82,95,100,16.55,RU,light rain
214,Kilosa,-6.83,36.98,74.07,72,34,3.47,TZ,scattered clouds
215,Mayor Pablo Lagerenza,-19.93,-60.77,99.75,28,30,8.43,PY,scattered clouds
216,Sarai,53.75,41.02,43.05,64,100,16.62,RU,overcast clouds
217,Vila Velha,-20.33,-40.29,69.8,94,90,4.7,BR,light rain
218,Rakai,-0.72,31.48,63.03,86,96,3.74,UG,overcast clouds
219,Sarkand,45.41,79.92,50.09,42,24,6.46,KZ,few clouds
220,Dharchula,29.85,80.53,58.86,35,29,4.27,IN,scattered clouds
221,Bambous Virieux,-20.34,57.76,73.4,78,40,11.41,MU,scattered clouds
222,Ntungamo,-0.88,29.65,65.75,91,99,1.16,UG,moderate rain
223,Tsiroanomandidy,-18.77,46.03,69.75,71,99,5.46,MG,light rain
224,Koson,39.04,65.58,51.8,43,0,6.93,UZ,clear sky
225,Camana,-16.62,-72.71,65.17,68,60,5.59,PE,broken clouds
226,Sisimiut,66.94,-53.67,42.19,73,100,11.81,GL,overcast clouds
227,Nadym,65.53,72.52,23.56,97,12,13.35,RU,few clouds
228,Paramirim,-13.44,-42.24,81.88,49,39,6.71,BR,light rain
229,Solenzo,12.18,-4.08,83.01,51,87,6.22,BF,overcast clouds
230,Madison,34.73,-86.57,75.0,53,40,6.93,US,scattered clouds
231,Xai-Xai,-25.05,33.64,72.09,70,0,10.4,MZ,clear sky
232,Ostrovnoy,68.05,39.51,34.41,85,59,13.8,RU,broken clouds
233,Westport,41.14,-73.36,62.6,51,40,9.17,US,scattered clouds
234,Sainte-Marie,-20.9,55.55,73.4,73,12,11.41,RE,few clouds
235,Mo I Rana,66.31,14.14,30.0,92,0,4.7,NO,clear sky
236,Igrim,63.19,64.42,29.71,94,86,6.78,RU,overcast clouds
237,Bakel,14.9,-12.46,91.42,20,0,4.54,SN,clear sky
238,Talara,-4.58,-81.27,67.71,76,46,16.55,PE,scattered clouds
239,Tshikapa,-6.42,20.8,71.04,92,100,2.48,CD,light rain
240,Biankouma,7.74,-7.61,70.59,93,69,1.92,CI,light rain
241,Floriano,-6.77,-43.02,91.29,20,79,4.38,BR,broken clouds
242,Beloha,-25.17,45.05,65.25,83,0,12.19,MG,clear sky
243,Vodnyy,63.5,53.41,30.88,97,100,6.76,RU,overcast clouds
244,Luderitz,-26.65,15.16,65.16,50,0,18.5,NA,clear sky
245,West Bend,43.43,-88.18,45.0,45,40,6.93,US,scattered clouds
246,Poltavka,54.37,71.76,32.74,90,41,6.69,RU,scattered clouds
247,Dzaoudzi,-12.79,45.27,78.8,78,0,9.17,YT,clear sky
248,Bowling Green,36.99,-86.44,59.0,87,90,8.05,US,overcast clouds
249,Berlevag,70.86,29.09,28.4,92,40,4.7,NO,scattered clouds
250,San Ramon De La Nueva Oran,-23.13,-64.33,102.0,23,0,4.0,AR,clear sky
251,Codrington,-38.27,141.97,44.58,95,32,6.31,AU,scattered clouds
252,Jalu,29.03,21.55,79.92,24,98,1.36,LY,overcast clouds
253,Sechura,-5.56,-80.82,76.21,54,9,16.71,PE,clear sky
254,Olafsvik,64.89,-23.71,42.66,76,49,30.27,IS,scattered clouds
255,Saint-Georges,12.06,-61.75,86.0,74,20,11.41,GD,few clouds
256,Edgewater,28.99,-80.9,77.0,88,90,9.17,US,mist
257,Kapchorwa,1.4,34.45,60.46,90,99,2.08,UG,moderate rain
258,Camocim,-2.9,-40.84,80.87,69,96,15.08,BR,overcast clouds
259,Lappeenranta,61.06,28.19,35.01,100,45,3.36,FI,fog
260,Abu Samrah,35.3,37.18,65.68,37,100,5.37,SY,overcast clouds
261,Ust-Kulom,61.69,53.69,32.18,98,100,9.44,RU,overcast clouds
262,Saint-Leu-La-Foret,49.02,2.25,51.01,87,75,3.36,FR,broken clouds
263,Sao Filipe,14.9,-24.5,80.64,79,22,6.38,CV,few clouds
